distribution,x,pdf
"Mix(Exp(1);Shifted(Exp(1),10))",3.104408582051595E-10,0.49999999984477955
"Mix(Exp(1);Shifted(Exp(1),10))",0.013912068714698154,0.4930921284498414
"Mix(Exp(1);Shifted(Exp(1),10))",0.02782413711895545,0.48627969442935093
"Mix(Exp(1);Shifted(Exp(1),10))",0.04173620552321275,0.47956137924508974
"Mix(Exp(1);Shifted(Exp(1),10))",0.05564827392747004,0.47293588257542446
"Mix(Exp(1);Shifted(Exp(1),10))",0.06956034233172734,0.46640192206363085
"Mix(Exp(1);Shifted(Exp(1),10))",0.08347241073598463,0.4599582330696954
"Mix(Exp(1);Shifted(Exp(1),10))",0.09738447914024193,0.4536035684255458
"Mix(Exp(1);Shifted(Exp(1),10))",0.11129654754449922,0.4473366981936629
"Mix(Exp(1);Shifted(Exp(1),10))",0.12520861594875654,0.4411564094290281
"Mix(Exp(1);Shifted(Exp(1),10))",0.13912068435301383,0.4350615059443592
"Mix(Exp(1);Shifted(Exp(1),10))",0.15303275275727113,0.42905080807858975
"Mix(Exp(1);Shifted(Exp(1),10))",0.16694482116152842,0.4231231524685472
"Mix(Exp(1);Shifted(Exp(1),10))",0.18085688956578572,0.41727739182378537
"Mix(Exp(1);Shifted(Exp(1),10))",0.194768957970043,0.4115123947045279
"Mix(Exp(1);Shifted(Exp(1),10))",0.2086810263743003,0.4058270453026791
"Mix(Exp(1);Shifted(Exp(1),10))",0.2225930947785576,0.40022024322586125
"Mix(Exp(1);Shifted(Exp(1),10))",0.2365051631828149,0.39469090328443446
"Mix(Exp(1);Shifted(Exp(1),10))",0.2504172315870722,0.38923795528146
"Mix(Exp(1);Shifted(Exp(1),10))",0.2643292999913295,0.38386034380556455
"Mix(Exp(1);Shifted(Exp(1),10))",0.2782413683955868,0.378557028026667
"Mix(Exp(1);Shifted(Exp(1),10))",0.29215343679984407,0.373326981494527
"Mix(Exp(1);Shifted(Exp(1),10))",0.30606550520410136,0.3681691919400765
"Mix(Exp(1);Shifted(Exp(1),10))",0.31997757360835866,0.36308266107949677
"Mix(Exp(1);Shifted(Exp(1),10))",0.33388964201261595,0.35806640442100135
"Mix(Exp(1);Shifted(Exp(1),10))",0.34780171041687324,0.3531194510742892
"Mix(Exp(1);Shifted(Exp(1),10))",0.36171377882113054,0.34824084356263
"Mix(Exp(1);Shifted(Exp(1),10))",0.37562584722538783,0.3434296376375456
"Mix(Exp(1);Shifted(Exp(1),10))",0.3895379156296451,0.3386849020960519
"Mix(Exp(1);Shifted(Exp(1),10))",0.4034499840339024,0.3340057186004258
"Mix(Exp(1);Shifted(Exp(1),10))",0.4173620524381597,0.329391181500462
"Mix(Exp(1);Shifted(Exp(1),10))",0.431274120842417,0.3248403976581854
"Mix(Exp(1);Shifted(Exp(1),10))",0.4451861892466743,0.3203524862749856
"Mix(Exp(1);Shifted(Exp(1),10))",0.4590982576509316,0.315926578721139
"Mix(Exp(1);Shifted(Exp(1),10))",0.4730103260551889,0.31156181836768715
"Mix(Exp(1);Shifted(Exp(1),10))",0.4869223944594462,0.3072573604206368
"Mix(Exp(1);Shifted(Exp(1),10))",0.5008344628637036,0.30301237175745105
"Mix(Exp(1);Shifted(Exp(1),10))",0.5147465312679609,0.29882603076580017
"Mix(Exp(1);Shifted(Exp(1),10))",0.5286585996722182,0.29469752718453857
"Mix(Exp(1);Shifted(Exp(1),10))",0.5425706680764755,0.29062606194688045
"Mix(Exp(1);Shifted(Exp(1),10))",0.5564827364807328,0.2866108470257412
"Mix(Exp(1);Shifted(Exp(1),10))",0.5703948048849901,0.28265110528121573
"Mix(Exp(1);Shifted(Exp(1),10))",0.5843068732892474,0.2787460703101639
"Mix(Exp(1);Shifted(Exp(1),10))",0.5982189416935046,0.2748949862978744
"Mix(Exp(1);Shifted(Exp(1),10))",0.6121310100977619,0.2710971078717774
"Mix(Exp(1);Shifted(Exp(1),10))",0.6260430785020192,0.26735169995717883
"Mix(Exp(1);Shifted(Exp(1),10))",0.6399551469062765,0.26365803763498763
"Mix(Exp(1);Shifted(Exp(1),10))",0.6538672153105338,0.26001540600140827
"Mix(Exp(1);Shifted(Exp(1),10))",0.6677792837147911,0.25642310002957236
"Mix(Exp(1);Shifted(Exp(1),10))",0.6816913521190484,0.2528804244330813
"Mix(Exp(1);Shifted(Exp(1),10))",0.6956034205233057,0.2493866935314345
"Mix(Exp(1);Shifted(Exp(1),10))",0.709515488927563,0.2459412311173169
"Mix(Exp(1);Shifted(Exp(1),10))",0.7234275573318203,0.24254337032571968
"Mix(Exp(1);Shifted(Exp(1),10))",0.7373396257360776,0.23919245350486956
"Mix(Exp(1);Shifted(Exp(1),10))",0.7512516941403349,0.23588783208894096
"Mix(Exp(1);Shifted(Exp(1),10))",0.7651637625445922,0.23262886647252692
"Mix(Exp(1);Shifted(Exp(1),10))",0.7790758309488495,0.22941492588684428
"Mix(Exp(1);Shifted(Exp(1),10))",0.7929878993531068,0.22624538827764915
"Mix(Exp(1);Shifted(Exp(1),10))",0.8068999677573641,0.2231196401848391
"Mix(Exp(1);Shifted(Exp(1),10))",0.8208120361616214,0.22003707662371866
"Mix(Exp(1);Shifted(Exp(1),10))",0.8347241045658786,0.21699710096790534
"Mix(Exp(1);Shifted(Exp(1),10))",0.8486361729701359,0.21399912483385325
"Mix(Exp(1);Shifted(Exp(1),10))",0.8625482413743932,0.21104256796697227
"Mix(Exp(1);Shifted(Exp(1),10))",0.8764603097786505,0.20812685812932044
"Mix(Exp(1);Shifted(Exp(1),10))",0.8903723781829078,0.20525143098884804
