estimator,quantile,n,distribution,efficiency
HD,0.01,11,"T(3)",0.9892746095964532
HD,0.01,11,"T(4)",1.0037723439092676
HD,0.01,11,"T(5)",1.0081521673546345
HD,0.01,12,"Beta(2,2)",1.0641034834106833
HD,0.01,12,"Beta(3,3)",1.0578318375253584
HD,0.01,12,"Beta(4,4)",1.0527227480621388
HD,0.01,12,"Beta(5,5)",1.0525146573188982
HD,0.01,12,"U(0,1)",1.0860948230722587
HD,0.01,12,"N(0,1)",1.043545670020283
HD,0.01,12,"DE(0,1)",1.0259819591432497
HD,0.01,12,"Cauchy(0,1)",0.8426275006969207
HD,0.01,12,"T(2)",0.9192067908742615
HD,0.01,12,"T(3)",0.9759323850320559
HD,0.01,12,"T(4)",0.9965636986317011
HD,0.01,12,"T(5)",1.0110359832899947
HD,0.01,13,"Beta(2,2)",1.0721195920060327
HD,0.01,13,"Beta(3,3)",1.0628095872920031
HD,0.01,13,"Beta(4,4)",1.0583736800808914
HD,0.01,13,"Beta(5,5)",1.0564933494238185
HD,0.01,13,"U(0,1)",1.0969699932700272
HD,0.01,13,"N(0,1)",1.04487041840268
HD,0.01,13,"DE(0,1)",1.0270289978264209
HD,0.01,13,"Cauchy(0,1)",0.8262093848772003
HD,0.01,13,"T(2)",0.9092267876956606
HD,0.01,13,"T(3)",0.9535366134992277
HD,0.01,13,"T(4)",0.994053782557079
HD,0.01,13,"T(5)",1.0128407114049363
HD,0.01,14,"Beta(2,2)",1.0783977560598679
HD,0.01,14,"Beta(3,3)",1.0677793395010802
HD,0.01,14,"Beta(4,4)",1.0618803323613801
HD,0.01,14,"Beta(5,5)",1.060002533260275
HD,0.01,14,"U(0,1)",1.1028436694836186
HD,0.01,14,"N(0,1)",1.0482785433918897
HD,0.01,14,"DE(0,1)",1.0283510668224733
HD,0.01,14,"Cauchy(0,1)",0.8127555899301074
HD,0.01,14,"T(2)",0.8893438385644221
HD,0.01,14,"T(3)",0.9597791891194545
HD,0.01,14,"T(4)",0.9915061171738565
HD,0.01,14,"T(5)",1.0076244554905345
HD,0.01,15,"Beta(2,2)",1.0857854408184633
HD,0.01,15,"Beta(3,3)",1.0720917369348966
HD,0.01,15,"Beta(4,4)",1.0672015066288203
HD,0.01,15,"Beta(5,5)",1.0629055890263581
HD,0.01,15,"U(0,1)",1.1091452262542023
HD,0.01,15,"N(0,1)",1.0504940386158323
HD,0.01,15,"DE(0,1)",1.0301377968898169
HD,0.01,15,"Cauchy(0,1)",0.7979368854878497
HD,0.01,15,"T(2)",0.8922903532520378
HD,0.01,15,"T(3)",0.9631432453195966
HD,0.01,15,"T(4)",0.9898826009582609
HD,0.01,15,"T(5)",1.001104908264461
HD,0.01,16,"Beta(2,2)",1.0861978600647617
HD,0.01,16,"Beta(3,3)",1.0792717600125163
HD,0.01,16,"Beta(4,4)",1.0698564544856395
HD,0.01,16,"Beta(5,5)",1.0700639505428804
HD,0.01,16,"U(0,1)",1.1170359517564026
HD,0.01,16,"N(0,1)",1.052049789687397
HD,0.01,16,"DE(0,1)",1.029447393480788
HD,0.01,16,"Cauchy(0,1)",0.7848185807375979
HD,0.01,16,"T(2)",0.8856939832499817
HD,0.01,16,"T(3)",0.9467432150911693
HD,0.01,16,"T(4)",0.9855896044548468
HD,0.01,16,"T(5)",1.000770066573456
HD,0.01,17,"Beta(2,2)",1.091929884745305
HD,0.01,17,"Beta(3,3)",1.0824665006046514
HD,0.01,17,"Beta(4,4)",1.0756112887700826
HD,0.01,17,"Beta(5,5)",1.0712856247688798
HD,0.01,17,"U(0,1)",1.121483372975067
HD,0.01,17,"N(0,1)",1.05322631233628
HD,0.01,17,"DE(0,1)",1.0291715816425617
HD,0.01,17,"Cauchy(0,1)",0.77449977353288
HD,0.01,17,"T(2)",0.8436136005140923
