"distribution","n","hd","hl1","hl2","hl3","sm","thd"
"Weibull(shape=0.3)","8",12.393,17.86854,15.93288,16.48292,4.11941,5.12851
"Weibull(shape=0.3)","9",5.73738,16.09403,15.59583,15.74431,2.07458,2.38174
"Weibull(shape=0.5)","10",0.57172,1.64682,1.17983,1.61654,0.3869,0.4148
"Weibull(shape=0.5)","11",0.50689,1.21834,1.00058,1.07754,0.3732,0.3747
"Weibull(shape=0.5)","12",0.42505,1.05503,0.94734,0.98659,0.31048,0.3267
"Weibull(shape=0.5)","13",0.32361,0.921,0.86247,0.89424,0.25063,0.25528
"Weibull(shape=0.5)","14",0.29887,1.04198,0.72047,0.78095,0.22551,0.23693
"Weibull(shape=0.5)","15",0.25846,0.853,0.74689,0.79095,0.206,0.20174
"Weibull(shape=0.5)","16",0.25188,0.79537,0.72795,0.75337,0.21073,0.20673
"Weibull(shape=0.5)","17",0.19167,0.76711,0.61663,0.74617,0.15007,0.1541
"Weibull(shape=0.5)","18",0.19558,0.6793,0.5915,0.63022,0.15519,0.15961
"Weibull(shape=0.5)","19",0.22988,0.77364,0.70466,0.73834,0.19337,0.19238
"Weibull(shape=0.5)","20",0.17976,0.72133,0.63686,0.69686,0.15104,0.15165
"Weibull(shape=0.5)","5",2.39425,2.89315,2.71119,2.71119,1.27159,1.57568
"Weibull(shape=0.5)","6",1.59975,3.04689,2.93351,2.9888,0.92303,1.03901
"Weibull(shape=0.5)","7",0.9363,3.52405,1.21374,1.48142,0.55636,0.58791
"Weibull(shape=0.5)","8",0.88303,1.4901,1.3077,1.37276,0.59676,0.63995
"Weibull(shape=0.5)","9",0.76243,1.58346,1.46125,1.50932,0.54997,0.53943
