es,rate,type
-1,1e-04,t
-0.95,0,t
-0.9,2e-04,t
-0.85,0.00015,t
-0.8,0.00065,t
-0.75,6e-04,t
-0.7,6e-04,t
-0.65,0.0014,t
-0.6,0.00215,t
-0.55,0.00245,t
-0.5,0.00295,t
-0.45,0.0044,t
-0.4,0.00535,t
-0.35,0.00755,t
-0.3,0.0114,t
-0.25,0.01535,t
-0.2,0.0213,t
-0.15,0.02535,t
-0.1,0.03135,t
-0.0499999999999999,0.04055,t
0,0.0508,t
0.05,0.0591,t
0.1,0.07905,t
0.15,0.08955,t
0.2,0.10755,t
0.25,0.1301,t
0.3,0.1591,t
0.35,0.18395,t
0.4,0.2113,t
0.45,0.2454,t
0.5,0.28535,t
0.55,0.31625,t
0.6,0.35785,t
0.65,0.4021,t
0.7,0.44,t
0.75,0.48995,t
0.8,0.5329,t
0.85,0.56745,t
0.9,0.61555,t
0.95,0.65795,t
1,0.69165,t
1.05,0.72915,t
1.1,0.76165,t
1.15,0.80155,t
1.2,0.8224,t
1.25,0.85165,t
1.3,0.8692,t
1.35,0.896,t
1.4,0.9091,t
1.45,0.9315,t
1.5,0.9402,t
1.55,0.95445,t
1.6,0.9625,t
1.65,0.97315,t
1.7,0.9786,t
1.75,0.98175,t
1.8,0.98825,t
1.85,0.99035,t
1.9,0.99215,t
1.95,0.9935,t
2,0.99715,t
-1,5e-05,mw
-0.95,0.00015,mw
-0.9,5e-05,mw
-0.85,0.00015,mw
-0.8,3e-04,mw
-0.75,0.00055,mw
-0.7,0.00045,mw
-0.65,0.00105,mw
-0.6,0.0017,mw
-0.55,0.00205,mw
-0.5,0.00375,mw
-0.45,0.00405,mw
-0.4,0.0059,mw
-0.35,0.0081,mw
-0.3,0.00945,mw
-0.25,0.0119,mw
-0.2,0.0161,mw
-0.15,0.0213,mw
-0.1,0.02815,mw
-0.0499999999999999,0.0351,mw
0,0.04375,mw
0.05,0.05585,mw
0.1,0.0716,mw
0.15,0.08215,mw
0.2,0.1013,mw
0.25,0.12395,mw
0.3,0.14255,mw
0.35,0.16805,mw
0.4,0.19665,mw
0.45,0.223,mw
0.5,0.25435,mw
0.55,0.29035,mw
0.6,0.3285,mw
0.65,0.3651,mw
0.7,0.40885,mw
0.75,0.4451,mw
0.8,0.486,mw
0.85,0.5242,mw
0.9,0.568,mw
0.95,0.6085,mw
1,0.6472,mw
1.05,0.68705,mw
1.1,0.7263,mw
1.15,0.75445,mw
1.2,0.79215,mw
1.25,0.81885,mw
1.3,0.84475,mw
1.35,0.8665,mw
1.4,0.88415,mw
1.45,0.90625,mw
1.5,0.9154,mw
1.55,0.93745,mw
1.6,0.9477,mw
1.65,0.9599,mw
1.7,0.96725,mw
1.75,0.97445,mw
1.8,0.97825,mw
1.85,0.9832,mw
1.9,0.98685,mw
1.95,0.9908,mw
2,0.9916,mw
