es,bm,mw
0.1,0.0224,0.01604
0.15,0.02936,0.0206
0.2,0.03662,0.02592
0.25,0.04502,0.03034
0.3,0.05808,0.03946
0.35,0.0671,0.05046
0.4,0.08186,0.06212
0.45,0.10118,0.0736
0.5,0.12,0.09002
0.55,0.14086,0.1057
0.6,0.16322,0.12668
0.65,0.19064,0.14882
0.7,0.21754,0.17404
0.75,0.2517,0.20158
0.8,0.28602,0.2323
0.85,0.32004,0.262
0.9,0.35706,0.29762
0.95,0.3947,0.3342
1,0.43282,0.3653
1.05,0.47276,0.40362
1.1,0.51412,0.44586
1.15,0.5546,0.48398
1.2,0.59468,0.52508
1.25,0.6355,0.56356
1.3,0.66842,0.60476
1.35,0.70452,0.64566
1.4,0.73504,0.67756
1.45,0.77236,0.71616
1.5,0.80158,0.7463
1.55,0.8241,0.77536
1.6,0.85106,0.80132
1.65,0.87332,0.83062
1.7,0.8932,0.85262
1.75,0.91002,0.87272
1.8,0.92588,0.89414
1.85,0.93782,0.91296
1.9,0.94916,0.92642
1.95,0.959,0.939
2,0.96628,0.9506
