es,bm,mw
0.1,0.02776,0.00606
0.15,0.03094,0.00668
0.2,0.0381,0.00806
0.25,0.04278,0.0097
0.3,0.05122,0.01098
0.35,0.05442,0.01302
0.4,0.0647,0.01578
0.45,0.0724,0.01862
0.5,0.0826,0.02034
0.55,0.09358,0.02372
0.6,0.10478,0.02738
0.65,0.11582,0.03224
0.7,0.13496,0.03624
0.75,0.14884,0.03942
0.8,0.16302,0.04754
0.85,0.18024,0.05148
0.9,0.19746,0.05866
0.95,0.21486,0.06854
1,0.236,0.0753
1.05,0.2582,0.08252
1.1,0.27824,0.09088
1.15,0.30198,0.10426
1.2,0.31932,0.11168
1.25,0.34522,0.1233
1.3,0.36934,0.1344
1.35,0.39226,0.15108
1.4,0.4208,0.16482
1.45,0.44382,0.179
1.5,0.46986,0.19116
1.55,0.49586,0.20928
1.6,0.5196,0.22708
1.65,0.54274,0.2416
1.7,0.57124,0.25908
1.75,0.59518,0.27846
1.8,0.61808,0.2985
1.85,0.64292,0.3177
1.9,0.66656,0.33668
1.95,0.69124,0.35636
2,0.7116,0.3777
