es,bm,mw
0.1,0.02604,0.011
0.15,0.03434,0.01302
0.2,0.03782,0.01542
0.25,0.0434,0.01896
0.3,0.04896,0.0212
0.35,0.05798,0.02624
0.4,0.06376,0.02906
0.45,0.07372,0.03352
0.5,0.0847,0.03798
0.55,0.092,0.04482
0.6,0.10692,0.04954
0.65,0.11558,0.05756
0.7,0.13074,0.06564
0.75,0.14808,0.07458
0.8,0.163,0.08322
0.85,0.17978,0.09232
0.9,0.1971,0.10486
0.95,0.21414,0.11222
1,0.23238,0.12662
1.05,0.26048,0.14066
1.1,0.27802,0.15816
1.15,0.2973,0.16856
1.2,0.32326,0.18262
1.25,0.34568,0.20226
1.3,0.36786,0.22024
1.35,0.39456,0.24176
1.4,0.41862,0.26012
1.45,0.44204,0.27932
1.5,0.46988,0.2981
1.55,0.49438,0.31888
1.6,0.52076,0.34634
1.65,0.54766,0.36606
1.7,0.56846,0.39246
1.75,0.5972,0.4146
1.8,0.61582,0.43442
1.85,0.64084,0.46042
1.9,0.66684,0.48164
1.95,0.6923,0.50604
2,0.70784,0.52936
