es,bm,mw
0.1,0.06846,0.06214
0.15,0.07666,0.07128
0.2,0.08712,0.08066
0.25,0.10252,0.09394
0.3,0.1147,0.10832
0.35,0.12708,0.11846
0.4,0.14354,0.13268
0.45,0.15574,0.15124
0.5,0.17462,0.16526
0.55,0.19342,0.18598
0.6,0.21342,0.20352
0.65,0.23736,0.22902
0.7,0.2559,0.24586
0.75,0.27912,0.2715
0.8,0.30474,0.29228
0.85,0.326,0.31542
0.9,0.35244,0.3458
0.95,0.3758,0.36972
1,0.4007,0.39664
1.05,0.43122,0.42432
1.1,0.4591,0.4467
1.15,0.48452,0.47892
1.2,0.5061,0.5059
1.25,0.53568,0.5323
1.3,0.56352,0.56192
1.35,0.58796,0.58672
1.4,0.61364,0.61424
1.45,0.63858,0.63926
1.5,0.66744,0.66072
1.55,0.68372,0.68838
1.6,0.71004,0.71354
1.65,0.7312,0.73626
1.7,0.75282,0.7556
1.75,0.7708,0.7778
1.8,0.79334,0.79712
1.85,0.80598,0.81382
1.9,0.82452,0.83164
1.95,0.84304,0.84982
2,0.85684,0.86676
