es,bm,mw
0.1,0.01402,0.00782
0.15,0.01882,0.01032
0.2,0.02408,0.01296
0.25,0.03038,0.0177
0.3,0.0368,0.02178
0.35,0.04614,0.02626
0.4,0.05714,0.03478
0.45,0.06886,0.0411
0.5,0.0812,0.05258
0.55,0.10124,0.06426
0.6,0.11846,0.0794
0.65,0.13942,0.09544
0.7,0.16624,0.1133
0.75,0.19308,0.13092
0.8,0.216,0.15448
0.85,0.24932,0.18068
0.9,0.27936,0.20518
0.95,0.31612,0.2329
1,0.35244,0.2612
1.05,0.3889,0.29676
1.1,0.42908,0.33438
1.15,0.4695,0.3641
1.2,0.50794,0.40608
1.25,0.54954,0.44342
1.3,0.58712,0.4779
1.35,0.62664,0.52034
1.4,0.65926,0.56238
1.45,0.70098,0.5982
1.5,0.73194,0.6327
1.55,0.7613,0.66872
1.6,0.78972,0.70638
1.65,0.81844,0.7357
1.7,0.8419,0.76784
1.75,0.86374,0.79582
1.8,0.88566,0.82514
1.85,0.90476,0.84254
1.9,0.92088,0.86792
1.95,0.93136,0.88906
2,0.94384,0.90418
