Generated: LightAndHeavy_Pdf.csv
Generated: LightAndHeavy_Description.csv
Generated: LightAndHeavy_Description.md
Start simulation for LightAndHeavy
Progress: 74.34% Elapsed:376.5s ETA:129.9s (2.2m)
Progress: 75.15% Elapsed:381.5s ETA:126.1s (2.1m)
Progress: 75.96% Elapsed:386.8s ETA:122.4s (2.0m)
Progress: 76.77% Elapsed:392.2s ETA:118.7s (2.0m)
Progress: 77.58% Elapsed:397.5s ETA:114.9s (1.9m)
Progress: 78.38% Elapsed:402.4s ETA:111.0s (1.8m)
Progress: 79.19% Elapsed:407.9s ETA:107.2s (1.8m)
Progress: 80.00% Elapsed:413.2s ETA:103.3s (1.7m)
Progress: 80.81% Elapsed:418.3s ETA:99.3s (1.7m)
Progress: 81.62% Elapsed:423.6s ETA:95.4s (1.6m)
Progress: 82.42% Elapsed:428.9s ETA:91.5s (1.5m)
Progress: 83.23% Elapsed:434.3s ETA:87.5s (1.5m)
Progress: 84.04% Elapsed:439.5s ETA:83.5s (1.4m)
Progress: 84.85% Elapsed:444.5s ETA:79.4s (1.3m)
Progress: 85.66% Elapsed:449.2s ETA:75.2s (1.3m)
Progress: 86.46% Elapsed:453.7s ETA:71.0s (1.2m)
Progress: 87.27% Elapsed:457.8s ETA:66.8s (1.1m)
Progress: 88.08% Elapsed:461.5s ETA:62.4s (1.0m)
Progress: 88.89% Elapsed:466.1s ETA:58.3s (1.0m)
Progress: 89.70% Elapsed:470.2s ETA:54.0s (0.9m)
Progress: 90.51% Elapsed:475.0s ETA:49.8s (0.8m)
Progress: 91.31% Elapsed:479.2s ETA:45.6s (0.8m)
Progress: 92.12% Elapsed:483.4s ETA:41.3s (0.7m)
Progress: 92.93% Elapsed:487.7s ETA:37.1s (0.6m)
Progress: 93.74% Elapsed:491.8s ETA:32.9s (0.5m)
Progress: 94.55% Elapsed:496.4s ETA:28.6s (0.5m)
Progress: 95.35% Elapsed:500.4s ETA:24.4s (0.4m)
Progress: 96.16% Elapsed:504.4s ETA:20.1s (0.3m)
Progress: 96.97% Elapsed:508.2s ETA:15.9s (0.3m)
Progress: 97.78% Elapsed:512.0s ETA:11.6s (0.2m)
Progress: 98.59% Elapsed:514.8s ETA:7.4s (0.1m)
Progress: 99.39% Elapsed:518.6s ETA:3.2s (0.1m)
Elapsed: 520.9s (8.7 min)
Total Elapsed: 00:09:49.0942933
