distribution,x,pdf
"Beta(2,2)",0.135,0.7006499889432845
"Beta(2,2)",0.136,0.70502398887426
"Beta(2,2)",0.137,0.7093859888054248
"Beta(2,2)",0.138,0.713735988736779
"Beta(2,2)",0.139,0.7180739886683227
"Beta(2,2)",0.14,0.7223999886000553
"Beta(2,2)",0.14100000000000001,0.7267139885319778
"Beta(2,2)",0.14200000000000002,0.7310159884640894
"Beta(2,2)",0.14300000000000002,0.7353059883963905
"Beta(2,2)",0.14400000000000002,0.7395839883288806
"Beta(2,2)",0.145,0.7438499882615602
"Beta(2,2)",0.146,0.7481039881944294
"Beta(2,2)",0.147,0.7523459881274879
"Beta(2,2)",0.148,0.7565759880607356
"Beta(2,2)",0.149,0.7607939879941729
"Beta(2,2)",0.15,0.7649999879277993
"Beta(2,2)",0.151,0.7691939878616154
"Beta(2,2)",0.152,0.7733759877956209
"Beta(2,2)",0.153,0.7775459877298152
"Beta(2,2)",0.154,0.7817039876641995
"Beta(2,2)",0.155,0.7858499875987728
"Beta(2,2)",0.156,0.7899839875335356
"Beta(2,2)",0.157,0.7941059874684878
"Beta(2,2)",0.158,0.7982159874036292
"Beta(2,2)",0.159,0.80231398733896
"Beta(2,2)",0.16,0.8063999872744801
"Beta(2,2)",0.161,0.8104739872101899
"Beta(2,2)",0.162,0.814535987146089
"Beta(2,2)",0.163,0.8185859870821772
"Beta(2,2)",0.164,0.8226239870184551
"Beta(2,2)",0.165,0.8266499869549223
"Beta(2,2)",0.166,0.8306639868915785
"Beta(2,2)",0.167,0.8346659868284245
"Beta(2,2)",0.168,0.8386559867654596
"Beta(2,2)",0.169,0.8426339867026841
"Beta(2,2)",0.17,0.8465999866400981
"Beta(2,2)",0.171,0.8505539865777013
"Beta(2,2)",0.17200000000000001,0.8544959865154941
"Beta(2,2)",0.17300000000000001,0.8584259864534761
"Beta(2,2)",0.17400000000000002,0.8623439863916477
"Beta(2,2)",0.17500000000000002,0.8662499863300085
"Beta(2,2)",0.176,0.8701439862685586
"Beta(2,2)",0.177,0.8740259862072978
"Beta(2,2)",0.178,0.8778959861462268
"Beta(2,2)",0.179,0.8817539860853449
"Beta(2,2)",0.18,0.8855999860246526
"Beta(2,2)",0.181,0.8894339859641494
"Beta(2,2)",0.182,0.893255985903836
"Beta(2,2)",0.183,0.8970659858437116
"Beta(2,2)",0.184,0.9008639857837768
"Beta(2,2)",0.185,0.9046499857240311
"Beta(2,2)",0.186,0.908423985664475
"Beta(2,2)",0.187,0.9121859856051081
