index,left,right,height,water,isMode,isPeak,isLowland
0,-1.38,-1.33,0.01943,0.01943,false,false,false
1,-1.33,-1.25,0.01258,0.01258,false,false,false
2,-1.25,-1.16,0.01100,0.01100,false,false,false
3,-1.16,-1.06,0.01000,0.01000,false,false,false
4,-1.06,-0.95,0.00968,0.00968,false,false,false
5,-0.95,-0.85,0.01016,0.01016,false,false,false
6,-0.85,-0.77,0.01131,0.01131,false,false,false
7,-0.77,-0.69,0.01293,0.01293,false,false,false
8,-0.69,-0.62,0.01482,0.01482,false,false,false
9,-0.62,-0.56,0.01698,0.01698,false,false,false
10,-0.56,-0.51,0.01954,0.01954,false,false,false
11,-0.51,-0.47,0.02266,0.02266,false,false,false
12,-0.47,-0.43,0.02634,0.02634,false,false,false
13,-0.43,-0.40,0.03025,0.03025,false,false,false
14,-0.40,-0.37,0.03376,0.03376,false,false,false
15,-0.37,-0.34,0.03617,0.03617,false,false,false
16,-0.34,-0.31,0.03720,0.03720,false,true,false
17,-0.31,-0.28,0.03712,0.03720,false,false,false
18,-0.28,-0.26,0.03646,0.03720,false,false,false
19,-0.26,-0.23,0.03572,0.03720,false,false,false
20,-0.23,-0.20,0.03522,0.03720,false,false,false
21,-0.20,-0.17,0.03511,0.03720,false,false,false
22,-0.17,-0.14,0.03543,0.03720,false,false,false
23,-0.14,-0.12,0.03617,0.03720,false,false,false
24,-0.12,-0.09,0.03725,0.03725,false,false,false
25,-0.09,-0.06,0.03854,0.03854,false,false,false
26,-0.06,-0.04,0.03990,0.03990,false,false,false
27,-0.04,-0.01,0.04118,0.04118,false,false,false
28,-0.01,0.01,0.04226,0.04226,false,false,false
29,0.01,0.03,0.04305,0.04305,false,false,false
30,0.03,0.06,0.04356,0.04356,false,false,false
31,0.06,0.08,0.04384,0.04384,false,false,false
32,0.08,0.10,0.04399,0.04399,false,false,false
33,0.10,0.12,0.04411,0.04411,false,false,false
34,0.12,0.15,0.04427,0.04427,false,false,false
35,0.15,0.17,0.04454,0.04454,false,false,false
36,0.17,0.19,0.04495,0.04495,false,false,false
37,0.19,0.21,0.04550,0.04550,false,false,false
38,0.21,0.24,0.04615,0.04615,false,false,false
39,0.24,0.26,0.04686,0.04686,false,false,false
40,0.26,0.28,0.04756,0.04756,false,false,false
41,0.28,0.30,0.04818,0.04818,false,false,false
42,0.30,0.32,0.04864,0.04864,false,false,false
43,0.32,0.34,0.04890,0.04890,false,false,false
44,0.34,0.36,0.04891,0.04891,true,true,false
45,0.36,0.38,0.04866,0.04866,false,false,false
46,0.38,0.40,0.04815,0.04815,false,false,false
47,0.40,0.42,0.04741,0.04741,false,false,false
48,0.42,0.44,0.04647,0.04647,false,false,false
49,0.44,0.47,0.04538,0.04538,false,false,false
50,0.47,0.49,0.04417,0.04417,false,false,false
51,0.49,0.51,0.04289,0.04289,false,false,false
52,0.51,0.54,0.04156,0.04156,false,false,false
53,0.54,0.56,0.04022,0.04022,false,false,false
54,0.56,0.59,0.03889,0.03889,false,false,false
55,0.59,0.61,0.03759,0.03759,false,false,false
56,0.61,0.64,0.03632,0.03632,false,false,false
57,0.64,0.67,0.03510,0.03510,false,false,false
58,0.67,0.70,0.03393,0.03393,false,false,false
59,0.70,0.73,0.03281,0.03281,false,false,false
60,0.73,0.76,0.03174,0.03267,false,false,true
61,0.76,0.79,0.03071,0.03267,false,false,true
62,0.79,0.83,0.02971,0.03267,false,false,true
63,0.83,0.86,0.02872,0.03267,false,false,true
64,0.86,0.90,0.02774,0.03267,false,false,true
65,0.90,0.93,0.02675,0.03267,false,false,true
66,0.93,0.97,0.02573,0.03267,false,false,true
67,0.97,1.01,0.02469,0.03267,false,false,true
68,1.01,1.06,0.02360,0.03267,false,false,true
69,1.06,1.10,0.02248,0.03267,false,false,true
70,1.10,1.15,0.02131,0.03267,false,false,true
71,1.15,1.20,0.02011,0.03267,false,false,true
72,1.20,1.25,0.01888,0.03267,false,false,true
73,1.25,1.31,0.01764,0.03267,false,false,true
74,1.31,1.37,0.01639,0.03267,false,false,true
75,1.37,1.43,0.01516,0.03267,false,false,true
76,1.43,1.51,0.01396,0.03267,false,false,true
77,1.51,1.58,0.01279,0.03267,false,false,true
78,1.58,1.67,0.01168,0.03267,false,false,true
79,1.67,1.76,0.01064,0.03267,false,false,true
80,1.76,1.87,0.00968,0.03267,false,false,true
81,1.87,1.98,0.00879,0.03267,false,false,true
82,1.98,2.11,0.00799,0.03267,false,false,true
83,2.11,2.24,0.00728,0.03267,false,false,true
84,2.24,2.39,0.00664,0.03267,false,false,true
85,2.39,2.56,0.00608,0.03267,false,false,true
86,2.56,2.74,0.00559,0.03267,false,false,true
87,2.74,2.93,0.00516,0.03267,false,false,true
88,2.93,3.14,0.00480,0.03267,false,false,true
89,3.14,3.36,0.00449,0.03267,false,false,true
90,3.36,3.60,0.00423,0.03267,false,false,true
91,3.60,3.85,0.00401,0.03267,false,false,true
92,3.85,4.11,0.00383,0.03267,false,false,true
93,4.11,4.38,0.00370,0.03267,false,false,true
94,4.38,4.66,0.00359,0.03267,false,false,true
95,4.66,4.94,0.00352,0.03267,false,false,true
96,4.94,5.23,0.00348,0.03267,false,false,true
97,5.23,5.52,0.00347,0.03267,false,false,true
98,5.52,5.80,0.00350,0.03267,false,false,true
99,5.80,6.08,0.00355,0.03267,false,false,true
100,6.08,6.36,0.00363,0.03267,false,false,true
101,6.36,6.63,0.00375,0.03267,false,false,true
102,6.63,6.88,0.00390,0.03267,false,false,true
103,6.88,7.13,0.00410,0.03267,false,false,true
104,7.13,7.36,0.00434,0.03267,false,false,true
105,7.36,7.57,0.00463,0.03267,false,false,true
106,7.57,7.77,0.00497,0.03267,false,false,true
107,7.77,7.96,0.00538,0.03267,false,false,true
108,7.96,8.13,0.00585,0.03267,false,false,true
109,8.13,8.29,0.00641,0.03267,false,false,true
110,8.29,8.43,0.00706,0.03267,false,false,true
111,8.43,8.56,0.00782,0.03267,false,false,true
112,8.56,8.67,0.00868,0.03267,false,false,true
113,8.67,8.78,0.00967,0.03267,false,false,true
114,8.78,8.87,0.01079,0.03267,false,false,true
115,8.87,8.95,0.01204,0.03267,false,false,true
116,8.95,9.03,0.01343,0.03267,false,false,true
117,9.03,9.09,0.01494,0.03267,false,false,true
118,9.09,9.15,0.01657,0.03267,false,false,true
119,9.15,9.21,0.01828,0.03267,false,false,true
120,9.21,9.26,0.02005,0.03267,false,false,true
121,9.26,9.30,0.02183,0.03267,false,false,true
122,9.30,9.35,0.02357,0.03267,false,false,true
123,9.35,9.39,0.02524,0.03267,false,false,true
124,9.39,9.42,0.02678,0.03267,false,false,true
125,9.42,9.46,0.02816,0.03267,false,false,true
126,9.46,9.49,0.02937,0.03267,false,false,true
127,9.49,9.53,0.03038,0.03267,false,false,true
128,9.53,9.56,0.03119,0.03267,false,false,true
129,9.56,9.59,0.03181,0.03267,false,false,true
130,9.59,9.62,0.03225,0.03267,false,false,true
131,9.62,9.65,0.03253,0.03267,false,false,true
132,9.65,9.68,0.03266,0.03267,false,false,true
133,9.68,9.71,0.03267,0.03267,true,true,true
134,9.71,9.74,0.03257,0.03257,false,false,false
135,9.74,9.77,0.03239,0.03239,false,false,false
136,9.77,9.80,0.03213,0.03213,false,false,false
137,9.80,9.84,0.03182,0.03182,false,false,false
138,9.84,9.87,0.03147,0.03147,false,false,false
139,9.87,9.90,0.03108,0.03108,false,false,false
140,9.90,9.93,0.03067,0.03067,false,false,false
141,9.93,9.97,0.03024,0.03024,false,false,false
142,9.97,10.00,0.02981,0.03021,false,false,true
143,10.00,10.03,0.02936,0.03021,false,false,true
144,10.03,10.07,0.02892,0.03021,false,false,true
145,10.07,10.10,0.02848,0.03021,false,false,true
146,10.10,10.14,0.02804,0.03021,false,false,true
147,10.14,10.17,0.02760,0.03021,false,false,true
148,10.17,10.21,0.02716,0.03021,false,false,true
149,10.21,10.25,0.02673,0.03021,false,false,true
150,10.25,10.29,0.02630,0.03021,false,false,true
151,10.29,10.33,0.02587,0.03021,false,false,true
152,10.33,10.37,0.02543,0.03021,false,false,true
153,10.37,10.41,0.02499,0.03021,false,false,true
154,10.41,10.45,0.02454,0.03021,false,false,true
155,10.45,10.49,0.02408,0.03021,false,false,true
156,10.49,10.53,0.02360,0.03021,false,false,true
157,10.53,10.57,0.02310,0.03021,false,false,true
158,10.57,10.62,0.02258,0.03021,false,false,true
159,10.62,10.66,0.02203,0.03021,false,false,true
160,10.66,10.71,0.02146,0.03021,false,false,true
161,10.71,10.76,0.02086,0.03021,false,false,true
162,10.76,10.81,0.02023,0.03021,false,false,true
163,10.81,10.86,0.01957,0.03021,false,false,true
164,10.86,10.91,0.01889,0.03021,false,false,true
165,10.91,10.97,0.01818,0.03021,false,false,true
166,10.97,11.02,0.01744,0.03021,false,false,true
167,11.02,11.08,0.01669,0.03021,false,false,true
168,11.08,11.15,0.01593,0.03021,false,false,true
169,11.15,11.21,0.01516,0.03021,false,false,true
170,11.21,11.28,0.01439,0.03021,false,false,true
171,11.28,11.35,0.01362,0.03021,false,false,true
172,11.35,11.43,0.01287,0.03021,false,false,true
173,11.43,11.51,0.01214,0.03021,false,false,true
174,11.51,11.60,0.01143,0.03021,false,false,true
175,11.60,11.70,0.01075,0.03021,false,false,true
176,11.70,11.79,0.01011,0.03021,false,false,true
177,11.79,11.90,0.00949,0.03021,false,false,true
178,11.90,12.01,0.00892,0.03021,false,false,true
179,12.01,12.13,0.00839,0.03021,false,false,true
180,12.13,12.26,0.00789,0.03021,false,false,true
181,12.26,12.39,0.00743,0.03021,false,false,true
182,12.39,12.53,0.00702,0.03021,false,false,true
183,12.53,12.69,0.00664,0.03021,false,false,true
184,12.69,12.84,0.00629,0.03021,false,false,true
185,12.84,13.01,0.00598,0.03021,false,false,true
186,13.01,13.19,0.00570,0.03021,false,false,true
187,13.19,13.37,0.00545,0.03021,false,false,true
188,13.37,13.56,0.00523,0.03021,false,false,true
189,13.56,13.76,0.00504,0.03021,false,false,true
190,13.76,13.96,0.00488,0.03021,false,false,true
191,13.96,14.18,0.00474,0.03021,false,false,true
192,14.18,14.39,0.00462,0.03021,false,false,true
193,14.39,14.61,0.00453,0.03021,false,false,true
194,14.61,14.84,0.00446,0.03021,false,false,true
195,14.84,15.06,0.00441,0.03021,false,false,true
196,15.06,15.29,0.00438,0.03021,false,false,true
197,15.29,15.52,0.00437,0.03021,false,false,true
198,15.52,15.75,0.00438,0.03021,false,false,true
199,15.75,15.98,0.00441,0.03021,false,false,true
200,15.98,16.20,0.00447,0.03021,false,false,true
201,16.20,16.42,0.00455,0.03021,false,false,true
202,16.42,16.63,0.00465,0.03021,false,false,true
203,16.63,16.84,0.00477,0.03021,false,false,true
204,16.84,17.05,0.00493,0.03021,false,false,true
205,17.05,17.24,0.00511,0.03021,false,false,true
206,17.24,17.43,0.00532,0.03021,false,false,true
207,17.43,17.61,0.00556,0.03021,false,false,true
208,17.61,17.78,0.00585,0.03021,false,false,true
209,17.78,17.94,0.00617,0.03021,false,false,true
210,17.94,18.10,0.00653,0.03021,false,false,true
211,18.10,18.24,0.00694,0.03021,false,false,true
212,18.24,18.38,0.00741,0.03021,false,false,true
213,18.38,18.50,0.00793,0.03021,false,false,true
214,18.50,18.62,0.00851,0.03021,false,false,true
215,18.62,18.73,0.00916,0.03021,false,false,true
216,18.73,18.83,0.00987,0.03021,false,false,true
217,18.83,18.92,0.01066,0.03021,false,false,true
218,18.92,19.01,0.01152,0.03021,false,false,true
219,19.01,19.09,0.01246,0.03021,false,false,true
220,19.09,19.17,0.01347,0.03021,false,false,true
221,19.17,19.23,0.01455,0.03021,false,false,true
222,19.23,19.30,0.01569,0.03021,false,false,true
223,19.30,19.36,0.01688,0.03021,false,false,true
224,19.36,19.41,0.01810,0.03021,false,false,true
225,19.41,19.46,0.01935,0.03021,false,false,true
226,19.46,19.51,0.02059,0.03021,false,false,true
227,19.51,19.56,0.02181,0.03021,false,false,true
228,19.56,19.60,0.02299,0.03021,false,false,true
229,19.60,19.64,0.02410,0.03021,false,false,true
230,19.64,19.68,0.02514,0.03021,false,false,true
231,19.68,19.72,0.02608,0.03021,false,false,true
232,19.72,19.76,0.02692,0.03021,false,false,true
233,19.76,19.79,0.02766,0.03021,false,false,true
234,19.79,19.83,0.02829,0.03021,false,false,true
235,19.83,19.86,0.02881,0.03021,false,false,true
236,19.86,19.90,0.02924,0.03021,false,false,true
237,19.90,19.93,0.02958,0.03021,false,false,true
238,19.93,19.97,0.02983,0.03021,false,false,true
239,19.97,20.00,0.03002,0.03021,false,false,true
240,20.00,20.03,0.03014,0.03021,false,false,true
241,20.03,20.07,0.03020,0.03021,false,false,true
242,20.07,20.10,0.03021,0.03021,true,true,true
243,20.10,20.13,0.03018,0.03021,false,false,true
244,20.13,20.17,0.03010,0.03021,false,false,true
245,20.17,20.20,0.02998,0.03021,false,false,true
246,20.20,20.23,0.02982,0.03021,false,false,true
247,20.23,20.27,0.02962,0.03021,false,false,true
248,20.27,20.30,0.02938,0.03021,false,false,true
249,20.30,20.33,0.02910,0.03021,false,false,true
250,20.33,20.37,0.02877,0.03021,false,false,true
251,20.37,20.40,0.02839,0.03021,false,false,true
252,20.40,20.44,0.02797,0.03021,false,false,true
253,20.44,20.48,0.02749,0.03021,false,false,true
254,20.48,20.51,0.02697,0.03021,false,false,true
255,20.51,20.55,0.02639,0.03021,false,false,true
256,20.55,20.59,0.02576,0.03021,false,false,true
257,20.59,20.63,0.02508,0.03021,false,false,true
258,20.63,20.67,0.02436,0.03021,false,false,true
259,20.67,20.71,0.02360,0.03021,false,false,true
260,20.71,20.76,0.02279,0.03021,false,false,true
261,20.76,20.80,0.02196,0.03021,false,false,true
262,20.80,20.85,0.02109,0.03021,false,false,true
263,20.85,20.90,0.02021,0.03021,false,false,true
264,20.90,20.95,0.01932,0.03021,false,false,true
265,20.95,21.01,0.01842,0.03021,false,false,true
266,21.01,21.06,0.01752,0.03021,false,false,true
267,21.06,21.12,0.01664,0.03021,false,false,true
268,21.12,21.19,0.01577,0.03021,false,false,true
269,21.19,21.25,0.01492,0.03021,false,false,true
270,21.25,21.32,0.01410,0.03021,false,false,true
271,21.32,21.40,0.01331,0.03021,false,false,true
272,21.40,21.48,0.01255,0.03021,false,false,true
273,21.48,21.56,0.01184,0.03021,false,false,true
274,21.56,21.65,0.01116,0.03021,false,false,true
275,21.65,21.75,0.01052,0.03021,false,false,true
276,21.75,21.85,0.00992,0.03021,false,false,true
277,21.85,21.96,0.00936,0.03021,false,false,true
278,21.96,22.07,0.00884,0.03021,false,false,true
279,22.07,22.19,0.00836,0.03021,false,false,true
280,22.19,22.32,0.00792,0.03021,false,false,true
281,22.32,22.45,0.00752,0.03021,false,false,true
282,22.45,22.59,0.00714,0.03021,false,false,true
283,22.59,22.74,0.00681,0.03021,false,false,true
284,22.74,22.89,0.00650,0.03021,false,false,true
285,22.89,23.05,0.00622,0.03021,false,false,true
286,23.05,23.22,0.00597,0.03021,false,false,true
287,23.22,23.39,0.00575,0.03021,false,false,true
288,23.39,23.57,0.00555,0.03021,false,false,true
289,23.57,23.76,0.00538,0.03021,false,false,true
290,23.76,23.95,0.00522,0.03021,false,false,true
291,23.95,24.14,0.00509,0.03021,false,false,true
292,24.14,24.35,0.00498,0.03021,false,false,true
293,24.35,24.55,0.00489,0.03021,false,false,true
294,24.55,24.76,0.00481,0.03021,false,false,true
295,24.76,24.97,0.00476,0.03021,false,false,true
296,24.97,25.18,0.00472,0.03021,false,false,true
297,25.18,25.39,0.00470,0.03021,false,false,true
298,25.39,25.61,0.00470,0.03021,false,false,true
299,25.61,25.82,0.00471,0.03021,false,false,true
300,25.82,26.03,0.00474,0.03021,false,false,true
301,26.03,26.24,0.00479,0.03021,false,false,true
302,26.24,26.44,0.00486,0.03021,false,false,true
303,26.44,26.65,0.00495,0.03021,false,false,true
