index,left,right,height,water,isMode,isPeak,isLowland
0,-3.92,-3.89,0.03242,0.03242,false,false,false
1,-3.89,-3.84,0.02298,0.02298,false,false,false
2,-3.84,-3.79,0.01924,0.01924,false,false,false
3,-3.79,-3.73,0.01773,0.01773,false,false,false
4,-3.73,-3.68,0.01733,0.01733,false,false,false
5,-3.68,-3.62,0.01754,0.01754,false,false,false
6,-3.62,-3.56,0.01808,0.01808,false,false,false
7,-3.56,-3.51,0.01876,0.01876,false,false,false
8,-3.51,-3.46,0.01949,0.01949,false,false,false
9,-3.46,-3.41,0.02021,0.02021,false,false,false
10,-3.41,-3.36,0.02090,0.02090,false,false,false
11,-3.36,-3.32,0.02159,0.02159,false,false,false
12,-3.32,-3.27,0.02230,0.02230,false,false,false
13,-3.27,-3.23,0.02307,0.02307,false,false,false
14,-3.23,-3.19,0.02390,0.02390,false,false,false
15,-3.19,-3.14,0.02480,0.02480,false,false,false
16,-3.14,-3.11,0.02577,0.02577,false,false,false
17,-3.11,-3.07,0.02679,0.02679,false,false,false
18,-3.07,-3.03,0.02783,0.02783,false,false,false
19,-3.03,-3.00,0.02887,0.02887,false,false,false
20,-3.00,-2.96,0.02987,0.02987,false,false,false
21,-2.96,-2.93,0.03079,0.03079,false,false,false
22,-2.93,-2.90,0.03160,0.03160,false,false,false
23,-2.90,-2.87,0.03226,0.03226,false,false,false
24,-2.87,-2.84,0.03274,0.03274,false,false,false
25,-2.84,-2.81,0.03302,0.03302,false,false,false
26,-2.81,-2.78,0.03310,0.03310,false,true,false
27,-2.78,-2.75,0.03297,0.03310,false,false,false
28,-2.75,-2.72,0.03264,0.03310,false,false,false
29,-2.72,-2.69,0.03213,0.03310,false,false,false
30,-2.69,-2.65,0.03149,0.03310,false,false,false
31,-2.65,-2.62,0.03074,0.03310,false,false,false
32,-2.62,-2.59,0.02991,0.03310,false,false,false
33,-2.59,-2.55,0.02906,0.03310,false,false,false
34,-2.55,-2.52,0.02820,0.03310,false,false,false
35,-2.52,-2.48,0.02736,0.03310,false,false,false
36,-2.48,-2.44,0.02656,0.03310,false,false,false
37,-2.44,-2.41,0.02583,0.03310,false,false,false
38,-2.41,-2.37,0.02517,0.03310,false,false,false
39,-2.37,-2.33,0.02459,0.03310,false,false,false
40,-2.33,-2.28,0.02409,0.03310,false,false,false
41,-2.28,-2.24,0.02368,0.03310,false,false,false
42,-2.24,-2.20,0.02337,0.03310,false,false,false
43,-2.20,-2.16,0.02314,0.03310,false,false,false
44,-2.16,-2.11,0.02300,0.03310,false,false,false
45,-2.11,-2.07,0.02295,0.03310,false,false,false
46,-2.07,-2.03,0.02299,0.03310,false,false,false
47,-2.03,-1.98,0.02311,0.03310,false,false,false
48,-1.98,-1.94,0.02332,0.03310,false,false,false
49,-1.94,-1.90,0.02361,0.03310,false,false,false
50,-1.90,-1.86,0.02399,0.03310,false,false,false
51,-1.86,-1.81,0.02446,0.03310,false,false,false
52,-1.81,-1.77,0.02501,0.03310,false,false,false
53,-1.77,-1.74,0.02564,0.03310,false,false,false
54,-1.74,-1.70,0.02636,0.03310,false,false,false
55,-1.70,-1.66,0.02716,0.03310,false,false,false
56,-1.66,-1.62,0.02804,0.03310,false,false,false
57,-1.62,-1.59,0.02901,0.03310,false,false,false
58,-1.59,-1.56,0.03005,0.03310,false,false,false
59,-1.56,-1.52,0.03116,0.03310,false,false,false
60,-1.52,-1.49,0.03235,0.03310,false,false,false
61,-1.49,-1.46,0.03360,0.03360,false,false,false
62,-1.46,-1.44,0.03491,0.03491,false,false,false
63,-1.44,-1.41,0.03626,0.03626,false,false,false
64,-1.41,-1.38,0.03765,0.03765,false,false,false
65,-1.38,-1.36,0.03908,0.03908,false,false,false
66,-1.36,-1.33,0.04051,0.04051,false,false,false
67,-1.33,-1.31,0.04195,0.04195,false,false,false
68,-1.31,-1.28,0.04337,0.04337,false,false,false
69,-1.28,-1.26,0.04477,0.04477,false,false,false
70,-1.26,-1.24,0.04613,0.04613,false,false,false
71,-1.24,-1.22,0.04744,0.04744,false,false,false
72,-1.22,-1.20,0.04869,0.04869,false,false,false
73,-1.20,-1.18,0.04987,0.04987,false,false,false
74,-1.18,-1.16,0.05097,0.05097,false,false,false
75,-1.16,-1.14,0.05200,0.05200,false,false,false
76,-1.14,-1.12,0.05294,0.05294,false,false,false
77,-1.12,-1.10,0.05381,0.05381,false,false,false
78,-1.10,-1.08,0.05460,0.05460,false,false,false
79,-1.08,-1.07,0.05532,0.05532,false,false,false
80,-1.07,-1.05,0.05598,0.05598,false,false,false
81,-1.05,-1.03,0.05658,0.05658,false,false,false
82,-1.03,-1.01,0.05713,0.05713,false,false,false
83,-1.01,-1.00,0.05764,0.05764,false,false,false
84,-1.00,-0.98,0.05813,0.05813,false,false,false
85,-0.98,-0.96,0.05860,0.05860,false,false,false
86,-0.96,-0.94,0.05905,0.05905,false,false,false
87,-0.94,-0.93,0.05950,0.05950,false,false,false
88,-0.93,-0.91,0.05995,0.05995,false,false,false
89,-0.91,-0.89,0.06041,0.06041,false,false,false
90,-0.89,-0.88,0.06089,0.06089,false,false,false
91,-0.88,-0.86,0.06138,0.06138,false,false,false
92,-0.86,-0.85,0.06190,0.06190,false,false,false
93,-0.85,-0.83,0.06244,0.06244,false,false,false
