TestName,TestKey,RunId,BuildId,Branch,Platform,Hardware,Timestamp,MetricId,Value,AgentName
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,c843b002-32da-4593-905a-c5a1586289c1,123940567,refs/heads/net212,Linux,blade,2021-06-12 11:06:19,idea.base_LaF_creation,4,rider-perf-blade-011
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,4096b056-2a91-44d7-82eb-b01370ce183b,123940567,refs/heads/net212,Linux,blade,2021-06-12 11:06:54,idea.base_LaF_creation,8,rider-perf-blade-011
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,654ac28e-c580-4f61-b36f-5860aa878f47,123940567,refs/heads/net212,Linux,blade,2021-06-12 11:07:28,idea.base_LaF_creation,5,rider-perf-blade-011
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,c3f215c8-34af-4f0c-a294-90e2543cc120,123943395,refs/heads/net212,Linux,blade,2021-06-12 12:05:13,idea.base_LaF_creation,7,rider-perf-blade-011
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,d95d128c-d954-46b6-b53b-29a1f4262ddb,123946544,refs/heads/net212,Linux,blade,2021-06-12 13:08:38,idea.base_LaF_creation,4,rider-perf-blade-011
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,216a192d-47bd-4a34-b1bb-6c4ea63e7b41,123948497,refs/heads/net212,Linux,blade,2021-06-12 14:03:02,idea.base_LaF_creation,3,rider-perf-blade-009
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,51e5a668-971f-47cb-a13c-30a029750e5d,123948497,refs/heads/net212,Linux,blade,2021-06-12 14:03:36,idea.base_LaF_creation,3,rider-perf-blade-009
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,098293c3-7138-4236-9a99-271b8d8541fd,123948497,refs/heads/net212,Linux,blade,2021-06-12 14:04:09,idea.base_LaF_creation,4,rider-perf-blade-009
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,f5750f51-91a1-40f6-866c-171ec4904903,123950509,refs/heads/net212,Linux,blade,2021-06-12 15:11:25,idea.base_LaF_creation,4,rider-perf-blade-011
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,a4e0a48e-4a49-4538-b726-1600858a3706,123954406,refs/heads/net212,Linux,blade,2021-06-12 16:07:52,idea.base_LaF_creation,4,rider-perf-blade-011
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,9cae236e-9164-4ba4-bf5b-d87bbaa1bd81,123956976,refs/heads/net212,Linux,blade,2021-06-12 17:08:12,idea.base_LaF_creation,4,rider-perf-blade-013
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,a01c9513-1013-4d9b-9baa-9da2e80978f4,123959571,refs/heads/net212,Linux,blade,2021-06-12 18:04:28,idea.base_LaF_creation,12,rider-perf-blade-013
com.jetbrains.rider.test.cases.playback.startup.StartupPerformanceTest.testStartupForEmptyProject,startup-empty,221a869d-f9e1-443f-b01d-23d89c7a3bbc,123961290,refs/heads/net212,Linux,blade,2021-06-12 19:04:48,idea.base_LaF_creation,10,rider-perf-blade-013
