n,shamos,qn
2,0.63684008726856,0.636619846519482
3,0.708128912806226,0.316590972370017
4,0.78956828106355,0.516287184842208
5,0.655551338381799,0.399941284225009
6,0.680063716900018,0.555622834261153
7,0.703803876865208,0.468979505871897
8,0.709678313761614,0.579191692453899
9,0.731809720101796,0.523501297481729
10,0.740575549131078,0.599469444712733
11,0.737122851668049,0.553366522824119
12,0.755399068499253,0.61531883266145
13,0.765174697294854,0.578784668703543
14,0.763570250816448,0.629210298280198
15,0.774258287866975,0.600598536030553
16,0.780312871181151,0.642287971504758
17,0.778377946007696,0.61562339556206
18,0.785657702013003,0.65196697847833
19,0.791135649788874,0.634551603254725
20,0.793809503857825,0.66359763268482
21,0.799136669655834,0.645532773928094
22,0.796921686400813,0.672663759756574
23,0.803264254789551,0.65546277190993
24,0.804332942545982,0.683284016374555
25,0.813142012997792,0.671020162695397
26,0.810888813913687,0.688737232874146
27,0.811728850616978,0.676678464952364
28,0.811025680035976,0.695056596996077
29,0.814433467269595,0.683566975672629
30,0.815791345667126,0.69795534111058
31,0.818953400146127,0.690642316483532
32,0.823612488841112,0.71163318726348
33,0.82266814019511,0.698127914686696
34,0.820917712905802,0.711157539950672
35,0.824774586899955,0.703217985756748
36,0.823219711594759,0.71739126066255
37,0.823038458585037,0.704378602638782
38,0.824464207145843,0.722464273021532
39,0.824142259328932,0.709770702125515
40,0.826423072697497,0.720623681095612
41,0.827812349914062,0.717454302202607
42,0.828559479353317,0.727893504104512
43,0.831456612001092,0.723635251368221
44,0.828853761646613,0.731504651845453
45,0.83285627681063,0.729258906391412
46,0.831084481554734,0.737364023072143
47,0.830277794712636,0.722684840266051
48,0.830606765939752,0.732865789042415
49,0.833641121856501,0.731703286590033
50,0.835106564225625,0.737699805320435
51,0.833590396255429,0.734445429915402
52,0.836128251816864,0.742543633171804
53,0.835634457120649,0.736570715759684
54,0.839207323930231,0.747153757850342
55,0.837447697199123,0.74217469711586
56,0.838379707647393,0.745957870247592
57,0.841180992427648,0.748851662245245
58,0.840137734717088,0.751782099567306
59,0.837395739919759,0.742127251926675
60,0.838525479879398,0.75039710968193
61,0.840365970489583,0.746909263092652
62,0.837154582010101,0.750967328052238
63,0.838593126470435,0.747691357839211
64,0.843581399246703,0.755039764992061
65,0.84051458058549,0.754249969436266
66,0.845639660144499,0.759628833889518
67,0.83746019829422,0.747744794295018
68,0.841347709263652,0.756650083906859
69,0.843024165926229,0.754324956672197
70,0.840852876421805,0.758561453369122
71,0.846343610018985,0.759784153539211
72,0.842732054392141,0.760034615207898
73,0.846175690279278,0.760491524789741
74,0.837280745351467,0.758956850623081
75,0.842427786842876,0.758157818586116
76,0.84345505330157,0.761630915828553
77,0.845513948533292,0.762714803820358
78,0.844530684560303,0.764712615188966
79,0.842511319732156,0.757206553182265
80,0.84277030630231,0.765015054052683
81,0.846049651904204,0.763910847053674
82,0.844749797643679,0.766516695477311
83,0.843035265737655,0.760015609710357
84,0.848103999078701,0.770260207996572
85,0.845561632490284,0.764890966652309
86,0.845572470730625,0.766032688023475
87,0.843181820236579,0.762739002987003
88,0.843462116371718,0.768564304773895
89,0.844178909543172,0.76745281843987
90,0.849558674204985,0.773268711171526
91,0.842921502160089,0.764902545894514
92,0.846427871527829,0.770797279742626
93,0.849451526303431,0.773324490189483
94,0.847407590434089,0.772502734691322
95,0.848000502125365,0.770214713113939
96,0.849410525878644,0.774181437859759
97,0.846590257358963,0.769824053894457
98,0.84970782790021,0.77608055165945
99,0.846788745860906,0.773357202805245
100,0.845003915941618,0.773305690538339
