n,dms,dhl
3,0.743226124018825,0.900686754107978
4,0.835715813129827,0.913155956766823
5,0.697504740621338,0.905493364862946
6,0.774693292640327,0.916943099234904
7,0.676999192617263,0.916531637273197
8,0.746802912848499,0.924492666636485
9,0.668894383442775,0.925881602741222
10,0.722054833698652,0.930108357575712
11,0.66115271402402,0.929684767311881
12,0.71053094943548,0.933054392304522
13,0.659860886479159,0.934454619331154
14,0.70054380032562,0.934759788197253
15,0.655939125696558,0.934340051034961
16,0.692720194977666,0.939648659622496
17,0.648882644952875,0.938953128453313
18,0.687372134707037,0.940746010081981
19,0.649756143298818,0.939459307127516
20,0.681261475513974,0.941799598312463
21,0.645376948139751,0.939203508288811
22,0.675044328158653,0.94040576007837
23,0.647185837679485,0.940301834700048
24,0.675611503137463,0.943492563566344
25,0.647998624705748,0.94397404423621
26,0.67030391992809,0.943356155768061
27,0.646891523472368,0.94224782020598
28,0.673421502972488,0.946738871831731
29,0.646300393489835,0.94461582986731
30,0.667726684058801,0.946484013015327
31,0.639237927963215,0.944244213403082
32,0.666407076229045,0.947099486162591
33,0.642858419825482,0.944359585160868
34,0.662885428019538,0.946232227577333
35,0.645201411240951,0.946208568682602
36,0.657668602984883,0.946468026639002
37,0.642118473896505,0.94634050207882
38,0.66233501487032,0.948219482778018
39,0.640403583169648,0.947311318871223
40,0.659080678885376,0.946441068555129
41,0.64365214692112,0.949218922302438
42,0.662538949556175,0.949338587061838
43,0.640150411496591,0.946756584933514
44,0.656840047964193,0.948303718345409
45,0.640669785145417,0.947655787595734
46,0.649467168770692,0.945920991352924
47,0.643036175386238,0.949304181566382
48,0.658600024694074,0.950474893041867
49,0.639376270917173,0.947053314053002
50,0.654808520713647,0.949212961708235
51,0.642282884596083,0.950203644573333
52,0.649456400722919,0.944546748584364
53,0.643983577357371,0.95006746285292
54,0.655881068075206,0.950748603508662
55,0.639593458593348,0.947954469412661
56,0.65581396477132,0.950405347433221
57,0.639602004656569,0.950023770459821
58,0.650730260314921,0.948188540234564
59,0.641785816830197,0.950200518212994
60,0.653215514446997,0.953018113625386
61,0.643349585981063,0.951696699767083
62,0.652476257406508,0.949256222517879
63,0.63866717925863,0.947320866411758
64,0.652581107463894,0.951220963289728
65,0.641372538495453,0.951166903827735
66,0.651770103674083,0.949814870879861
67,0.640969989005252,0.950640698255757
68,0.649043086667681,0.950663958393316
69,0.637816208731695,0.952957850589194
70,0.645599377549305,0.949550783817865
71,0.64142950112094,0.951001602668897
72,0.649357544334868,0.951268782211878
73,0.641791937548322,0.950165449935741
74,0.650490556102203,0.949735029850572
75,0.645244818089534,0.953508442431423
76,0.645966353761097,0.949335278228378
77,0.642134890598565,0.951077322691206
78,0.649741204874106,0.952833938198309
79,0.64306523534285,0.95230349841926
80,0.644250274810211,0.950118133350971
81,0.64537369181575,0.95435108561091
82,0.644763400464601,0.949263496806213
83,0.642515881482645,0.952851973303887
84,0.649097196596206,0.952577288978555
85,0.637439642865245,0.952373367115784
86,0.640945818495042,0.949700958301661
87,0.639496717153692,0.951475873392277
88,0.644881735237845,0.949997252026029
89,0.637474788757348,0.952992830737415
90,0.645275248231496,0.950445278085503
91,0.637735288371094,0.950045243945951
92,0.64816009064411,0.951685193999385
93,0.638003632546896,0.95177387580934
94,0.645378683392749,0.950766713203341
95,0.642128482556345,0.953230505424427
96,0.648044910871816,0.952355768604397
97,0.638655867039861,0.952206526479996
98,0.650405620674392,0.954938151487707
99,0.642443627972219,0.952261083512458
100,0.648914818016666,0.95406597886141
