estimator,quantile,n,distribution,efficiency
HD,0.02,13,"Pareto(1,0.5)",1.2370391965889953
HD,0.02,13,"LogNormal(0,3^2)",1.3909350923435726
HD,0.02,13,"Exp(1) + Outliers",1.212593737857771
HD,0.02,14,"Beta(2,10)",1.1672753799123752
HD,0.02,14,"Uniform(0,1)",1.2109098264232028
HD,0.02,14,"Normal(0,1^2)",1.0670138103483684
HD,0.02,14,"Weibull(1,2)",1.156350268918917
HD,0.02,14,"Cauchy(0,1)",0.6443753732721491
HD,0.02,14,"Pareto(1,0.5)",1.2683871046265367
HD,0.02,14,"LogNormal(0,3^2)",1.3435514958490502
HD,0.02,14,"Exp(1) + Outliers",1.2336182746430973
HD,0.02,15,"Beta(2,10)",1.1768321195154956
HD,0.02,15,"Uniform(0,1)",1.2327628447382708
HD,0.02,15,"Normal(0,1^2)",1.0707247792671621
HD,0.02,15,"Weibull(1,2)",1.1633541747635419
HD,0.02,15,"Cauchy(0,1)",0.6209908639307835
HD,0.02,15,"Pareto(1,0.5)",1.2852421565794458
HD,0.02,15,"LogNormal(0,3^2)",1.4239265287690244
HD,0.02,15,"Exp(1) + Outliers",1.2548888995705962
HD,0.02,16,"Beta(2,10)",1.195685211083713
HD,0.02,16,"Uniform(0,1)",1.2383684884627562
HD,0.02,16,"Normal(0,1^2)",1.0711895461742267
HD,0.02,16,"Weibull(1,2)",1.1759182331125377
HD,0.02,16,"Cauchy(0,1)",0.5946049229624243
HD,0.02,16,"Pareto(1,0.5)",1.3094973712278422
HD,0.02,16,"LogNormal(0,3^2)",1.4586242970380803
HD,0.02,16,"Exp(1) + Outliers",1.261857505939396
HD,0.02,17,"Beta(2,10)",1.2024751974929895
HD,0.02,17,"Uniform(0,1)",1.2538711397090607
HD,0.02,17,"Normal(0,1^2)",1.069023586711808
HD,0.02,17,"Weibull(1,2)",1.19010756475429
HD,0.02,17,"Cauchy(0,1)",0.5706440056882813
HD,0.02,17,"Pareto(1,0.5)",1.3235717635415685
HD,0.02,17,"LogNormal(0,3^2)",1.470362236868905
HD,0.02,17,"Exp(1) + Outliers",1.2843518904552231
HD,0.02,18,"Beta(2,10)",1.2196750354518313
HD,0.02,18,"Uniform(0,1)",1.2851351286485004
HD,0.02,18,"Normal(0,1^2)",1.0670896752129793
HD,0.02,18,"Weibull(1,2)",1.198676913115805
HD,0.02,18,"Cauchy(0,1)",0.5443385239108974
HD,0.02,18,"Pareto(1,0.5)",1.3637724535406592
HD,0.02,18,"LogNormal(0,3^2)",1.4048702389730137
HD,0.02,18,"Exp(1) + Outliers",1.29999691141888
HD,0.02,19,"Beta(2,10)",1.2395395793667041
HD,0.02,19,"Uniform(0,1)",1.3205391147126928
HD,0.02,19,"Normal(0,1^2)",1.0658129868657966
HD,0.02,19,"Weibull(1,2)",1.2120210143443848
HD,0.02,19,"Cauchy(0,1)",0.5210757253873625
HD,0.02,19,"Pareto(1,0.5)",1.346308797135213
HD,0.02,19,"LogNormal(0,3^2)",1.5148728817327322
HD,0.02,19,"Exp(1) + Outliers",1.3239894287080298
HD,0.02,20,"Beta(2,10)",1.251565817672461
HD,0.02,20,"Uniform(0,1)",1.3243698446997296
HD,0.02,20,"Normal(0,1^2)",1.0504159614549016
HD,0.02,20,"Weibull(1,2)",1.2243151278730235
HD,0.02,20,"Cauchy(0,1)",0.5020952821729452
HD,0.02,20,"Pareto(1,0.5)",1.3669611789985892
HD,0.02,20,"LogNormal(0,3^2)",1.5201751729133823
HD,0.02,20,"Exp(1) + Outliers",1.3516390788673434
HD,0.02,21,"Beta(2,10)",1.2609962775453802
HD,0.02,21,"Uniform(0,1)",1.3529400578624433
HD,0.02,21,"Normal(0,1^2)",1.0624400501516782
HD,0.02,21,"Weibull(1,2)",1.240941388394928
HD,0.02,21,"Cauchy(0,1)",0.47383831212886945
HD,0.02,21,"Pareto(1,0.5)",1.4176816095488396
HD,0.02,21,"LogNormal(0,3^2)",1.4501718159534787
HD,0.02,21,"Exp(1) + Outliers",1.3522528503737978
HD,0.02,22,"Beta(2,10)",1.2608001267839577
HD,0.02,22,"Uniform(0,1)",1.3503351961197303
HD,0.02,22,"Normal(0,1^2)",1.0556919332331978
HD,0.02,22,"Weibull(1,2)",1.2527404468021146
HD,0.02,22,"Cauchy(0,1)",0.4526827631678222
HD,0.02,22,"Pareto(1,0.5)",1.4023767450557514
HD,0.02,22,"LogNormal(0,3^2)",1.604212512680621
HD,0.02,22,"Exp(1) + Outliers",1.378288103992527
HD,0.02,23,"Beta(2,10)",1.2799854772664163
HD,0.02,23,"Uniform(0,1)",1.3875919010401552
HD,0.02,23,"Normal(0,1^2)",1.0629818348455242
